Name,Team,Games Played,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Inside 50s,Goal Assists,Contested Possessions,Uncontested Possessions,Effective Disposals,Disposal Efficiency,Clangers,Contested Marks,Marks Inside 50,Clearances,Centre Clearances,Stoppage Clearances,Rebound 50s,One Percenters,Bounces,Metres Gained,Score Involvements,Turnovers,Intercepts,Tackles Inside 50,Time On Ground
Andrew Gaff,West Coast,22,19.86,12.05,31.91,6.41,0.14,0.05,2.36,0.0,4.23,0.59,9.14,22.09,22.5,70.51,3.32,0.14,0.18,4.27,1.0,3.27,2.55,0.68,0.68,445.68,5.23,5.86,4.09,0.09,87.05
Jake Lloyd,Sydney,22,19.59,11.18,30.77,6.18,0.14,0.18,1.73,0.0,1.77,0.23,4.82,19.86,25.27,82.13,2.23,0.14,0.18,0.64,0.09,0.55,7.18,1.86,0.45,526.64,5.09,4.95,4.55,0.05,89.14
Thomas Stewart,Geelong,25,18.92,4.28,23.2,7.4,0.0,0.08,1.72,0.0,1.52,0.2,4.76,13.04,18.92,81.55,2.48,0.4,0.08,0.36,0.0,0.36,8.08,3.4,0.2,506.8,2.64,4.4,6.76,0.08,84.64
Shannon Hurn,West Coast,21,18.38,4.95,23.33,7.33,0.0,0.1,1.43,0.0,1.38,0.14,5.29,13.05,20.14,86.33,2.29,0.76,0.0,0.29,0.0,0.29,6.43,3.24,0.33,411.05,2.9,3.67,7.71,0.0,83.52
Daniel Rich,Brisbane,24,18.0,4.5,22.5,5.71,0.17,0.17,2.0,0.0,3.25,0.25,5.62,13.21,18.42,81.87,2.54,0.38,0.08,1.29,0.08,1.21,6.46,2.46,0.12,525.58,3.79,3.96,6.08,0.0,84.96
Bradley Hill,Fremantle,22,17.82,7.27,25.09,3.68,0.27,0.36,2.27,0.0,4.27,0.68,5.23,19.05,16.73,66.68,3.27,0.09,0.41,1.86,0.5,1.36,2.73,0.82,1.09,477.91,6.0,5.32,2.5,0.18,86.77
Zachary Williams,GWS,24,17.33,6.33,23.67,5.12,0.21,0.12,3.12,0.0,2.96,0.29,8.92,14.04,17.38,73.43,3.0,0.29,0.08,2.83,0.88,1.96,4.25,1.83,0.75,468.38,4.71,4.08,6.04,0.21,75.96
Caleb Daniel,Western Bulldogs,17,17.29,9.24,26.53,3.94,0.06,0.0,3.12,0.0,2.12,0.12,6.41,15.59,21.18,79.83,3.12,0.18,0.0,1.0,0.06,0.94,5.94,2.41,0.76,438.35,4.65,5.12,6.76,0.0,84.24
Luke Shuey,West Coast,24,17.0,9.96,26.96,3.38,0.33,0.08,5.38,0.0,5.33,0.54,10.96,15.5,17.75,65.84,4.46,0.0,0.08,6.5,2.17,4.33,2.21,2.33,0.38,431.83,5.46,6.21,2.96,0.54,79.5
Lachie Whitfield,GWS,19,16.95,10.11,27.05,7.68,0.58,0.37,2.79,0.0,3.58,0.42,7.16,18.74,19.74,72.98,2.58,0.05,0.53,3.32,0.63,2.68,3.42,1.0,0.47,466.26,6.26,5.0,3.05,0.47,84.53
Dayne Zorko,Brisbane,24,16.83,5.5,22.33,3.92,0.96,0.79,6.67,0.0,6.71,0.92,10.12,12.29,14.21,63.64,4.08,0.04,0.5,4.08,1.33,2.75,1.12,1.54,0.54,520.04,6.54,4.92,3.0,2.0,83.33
Christian Salem,Melbourne,20,16.7,7.4,24.1,4.65,0.0,0.1,3.0,0.0,1.65,0.2,7.25,13.6,17.6,73.03,3.05,0.2,0.0,1.1,0.15,0.95,5.0,2.2,0.45,400.45,3.35,4.2,5.3,0.15,85.15
Stephen Coniglio,GWS,15,16.6,10.0,26.6,4.27,1.0,0.4,4.0,0.0,3.93,0.67,9.8,16.4,17.13,64.4,3.4,0.33,0.67,5.13,2.27,2.87,1.4,0.53,0.47,364.27,6.27,4.47,2.0,0.87,79.6
Tim Taranto,GWS,26,16.54,11.15,27.69,4.62,0.42,0.5,6.35,0.0,4.12,0.5,11.08,16.27,16.5,59.59,4.77,0.12,0.27,5.27,1.69,3.58,2.23,1.42,0.04,392.23,6.08,5.62,2.62,1.12,80.85
Bachar Houli,Richmond,22,16.45,11.36,27.82,6.45,0.05,0.0,2.68,0.0,3.0,0.23,5.73,19.0,22.27,80.05,2.23,0.18,0.09,0.5,0.14,0.36,5.05,2.68,1.82,481.23,4.27,5.0,7.0,0.05,84.82
Nic Newman,Carlton,20,16.4,5.0,21.4,6.75,0.3,0.1,3.3,0.0,1.85,0.25,5.15,13.15,16.15,75.47,2.85,0.45,0.05,0.55,0.05,0.5,6.55,2.8,0.6,466.05,2.8,4.2,6.4,0.0,83.9
Dustin Martin,Richmond,23,16.39,9.74,26.13,4.22,1.39,0.65,2.43,0.0,5.61,1.0,10.65,14.78,17.3,66.21,4.91,0.78,0.91,4.3,2.39,1.91,0.48,1.17,0.91,457.87,7.35,5.48,1.87,0.43,83.39
Brayden Fiorini,Gold Coast,21,16.14,9.29,25.43,4.19,0.24,0.33,4.71,0.0,3.81,0.52,8.52,16.19,15.62,61.42,3.29,0.05,0.24,3.67,1.14,2.52,2.48,0.9,0.33,388.57,3.71,5.0,2.29,0.81,78.9
