"away.stats.totals.behinds","away.stats.totals.bounces","away.stats.totals.clangers","away.stats.totals.clearances.centreClearances","away.stats.totals.clearances.stoppageClearances","away.stats.totals.clearances.totalClearances","away.stats.totals.contestedMarks","away.stats.totals.contestedPossessions","away.stats.totals.disposalEfficiency","away.stats.totals.disposals","away.stats.totals.dreamTeamPoints","away.stats.totals.extendedStats","away.stats.totals.freesAgainst","away.stats.totals.freesFor","away.stats.totals.goalAccuracy","away.stats.totals.goalAssists","away.stats.totals.goalEfficiency","away.stats.totals.goals","away.stats.totals.handballs","away.stats.totals.hitouts","away.stats.totals.inside50s","away.stats.totals.intercepts","away.stats.totals.interchangeCounts.interchangeCap","away.stats.totals.interchangeCounts.interchangeCountQ1","away.stats.totals.interchangeCounts.interchangeCountQ2","away.stats.totals.interchangeCounts.interchangeCountQ3","away.stats.totals.interchangeCounts.interchangeCountQ4","away.stats.totals.interchangeCounts.totalInterchangeCount","away.stats.totals.kicks","away.stats.totals.lastUpdated","away.stats.totals.marks","away.stats.totals.marksInside50","away.stats.totals.metresGained","away.stats.totals.onePercenters","away.stats.totals.ranking","away.stats.totals.ratingPoints","away.stats.totals.rebound50s","away.stats.totals.scoreInvolvements","away.stats.totals.shotEfficiency","away.stats.totals.shotsAtGoal","away.stats.totals.superGoals","away.stats.totals.tackles","away.stats.totals.tacklesInside50","away.stats.totals.totalPossessions","away.stats.totals.turnovers","away.stats.totals.uncontestedPossessions","away.team.teamAbbr","away.team.teamId","away.team.teamName","away.team.teamNickname","home.stats.totals.behinds","home.stats.totals.bounces","home.stats.totals.clangers","home.stats.totals.clearances.centreClearances","home.stats.totals.clearances.stoppageClearances","home.stats.totals.clearances.totalClearances","home.stats.totals.contestedMarks","home.stats.totals.contestedPossessions","home.stats.totals.disposalEfficiency","home.stats.totals.disposals","home.stats.totals.dreamTeamPoints","home.stats.totals.extendedStats","home.stats.totals.freesAgainst","home.stats.totals.freesFor","home.stats.totals.goalAccuracy","home.stats.totals.goalAssists","home.stats.totals.goalEfficiency","home.stats.totals.goals","home.stats.totals.handballs","home.stats.totals.hitouts","home.stats.totals.inside50s","home.stats.totals.intercepts","home.stats.totals.interchangeCounts.interchangeCap","home.stats.totals.interchangeCounts.interchangeCountQ1","home.stats.totals.interchangeCounts.interchangeCountQ2","home.stats.totals.interchangeCounts.interchangeCountQ3","home.stats.totals.interchangeCounts.interchangeCountQ4","home.stats.totals.interchangeCounts.totalInterchangeCount","home.stats.totals.kicks","home.stats.totals.lastUpdated","home.stats.totals.marks","home.stats.totals.marksInside50","home.stats.totals.metresGained","home.stats.totals.onePercenters","home.stats.totals.ranking","home.stats.totals.ratingPoints","home.stats.totals.rebound50s","home.stats.totals.scoreInvolvements","home.stats.totals.shotEfficiency","home.stats.totals.shotsAtGoal","home.stats.totals.superGoals","home.stats.totals.tackles","home.stats.totals.tacklesInside50","home.stats.totals.totalPossessions","home.stats.totals.turnovers","home.stats.totals.uncontestedPossessions","home.team.teamAbbr","home.team.teamId","home.team.teamName","home.team.teamNickname"
14,4,39,9,24,33,10,146,74.2,364,1606,NA,13,14,53.1,10,26.2,17,153,46,65,74,120,28,29,33,28,118,211,2018-01-25 00:34:14,82,14,NA,65,NA,NA,42,NA,49.2,32,NA,71,19,357,68,211,"FRE","CD_T60","Fremantle","Freo",16,9,51,14,24,38,7,145,65.8,357,1516,NA,14,13,26.3,3,10.6,5,157,25,47,68,120,26,28,29,34,117,200,2018-01-25 00:34:14,76,9,NA,54,NA,NA,47,NA,40.4,19,NA,83,11,350,74,205,"COLL","CD_T40","Collingwood","Magpies"
13,5,66,14,22,36,9,159,62.5,320,1400,NA,25,24,40.9,4,17.6,9,124,37,51,78,120,27,24,23,20,94,196,2018-01-25 00:36:43,69,8,NA,70,NA,NA,36,NA,43.1,22,NA,76,13,322,74,163,"SYD","CD_T160","Sydney Swans","Swans",9,7,51,13,42,55,8,169,62.4,348,1578,NA,24,25,60,7,29.4,15,129,58,51,75,120,28,26,24,29,107,219,2018-01-25 00:36:43,67,8,NA,62,NA,NA,41,NA,49,25,NA,88,13,341,77,172,"GWS","CD_T1010","GWS Giants","Giants"
9,5,57,13,33,46,7,151,71.9,406,1620,NA,20,22,52.6,8,17.2,10,188,42,58,66,120,27,21,18,28,94,218,2018-01-25 00:34:23,87,9,NA,63,NA,NA,35,NA,32.8,19,NA,64,15,407,81,256,"RICH","CD_T120","Richmond","Tigers",15,20,48,11,21,32,8,157,67.4,374,1497,NA,22,20,42.9,9,25,12,169,31,48,81,120,25,18,13,19,75,205,2018-01-25 00:34:23,80,11,NA,61,NA,NA,48,NA,58.3,28,NA,58,12,364,65,207,"GCFC","CD_T1000","Gold Coast Suns","Suns"
12,8,47,16,26,42,15,143,72.1,362,1669,NA,20,14,56.3,9,38.3,18,141,34,47,59,120,27,22,20,25,94,221,2018-01-25 00:36:51,108,14,NA,44,NA,NA,30,NA,68.1,32,NA,73,11,363,52,220,"PORT","CD_T110","Port Adelaide","Power",15,14,41,11,30,41,10,141,66.5,310,1314,NA,14,20,46.2,8,27.9,12,140,45,43,52,120,21,22,19,22,84,170,2018-01-25 00:36:51,62,15,NA,69,NA,NA,29,NA,60.5,26,NA,57,6,308,58,167,"CARL","CD_T30","Carlton","Blues"
9,9,51,15,20,35,8,134,73.5,370,1444,NA,16,12,60,8,25.5,12,192,31,47,66,120,29,31,22,33,115,178,2018-01-25 00:34:32,70,10,NA,50,NA,NA,44,NA,42.6,20,NA,60,18,361,68,227,"ADEL","CD_T10","Adelaide Crows","Crows",11,8,44,15,22,37,13,149,76.9,364,1684,NA,12,16,52.9,11,29,18,150,42,62,68,120,26,26,22,30,104,214,2018-01-25 00:34:32,91,13,NA,41,NA,NA,35,NA,54.8,34,NA,82,14,367,66,218,"GEEL","CD_T70","Geelong Cats","Cats"
9,7,31,17,35,52,13,155,78.7,450,2013,NA,9,12,53.6,7,25,15,164,38,60,62,120,25,26,32,28,111,286,2018-01-25 00:37:00,159,12,NA,39,NA,NA,30,NA,46.7,28,NA,57,12,454,58,299,"ESS","CD_T50","Essendon","Bombers",6,18,31,9,21,30,9,110,75.3,291,1289,NA,12,9,64.3,5,22.5,9,132,44,40,58,120,19,19,27,22,87,159,2018-01-25 00:37:00,73,4,NA,60,NA,NA,44,NA,35,14,NA,63,8,290,62,180,"NMFC","CD_T100","North Melbourne","Kangaroos"
13,6,42,19,20,39,7,124,69.9,312,1380,NA,18,12,52,6,26,13,128,41,50,53,120,28,29,31,28,116,184,2018-01-25 00:34:40,74,12,NA,47,NA,NA,32,NA,50,25,NA,65,9,307,57,183,"BL","CD_T20","Brisbane Lions","Lions",13,6,37,16,24,40,14,139,77.4,398,1726,NA,12,18,67.7,20,39.6,21,167,46,53,57,120,24,30,30,30,114,231,2018-01-25 00:34:40,104,22,NA,51,NA,NA,37,NA,58.5,31,NA,55,10,396,53,257,"HAW","CD_T80","Hawthorn","Hawks"
15,7,46,7,23,30,5,121,77.9,408,1642,NA,16,10,31.6,5,12.8,6,193,47,47,64,120,24,17,20,14,75,215,2018-01-25 00:37:08,109,10,NA,48,NA,NA,28,NA,40.4,19,NA,56,10,414,58,293,"MELB","CD_T90","Melbourne","Demons",8,27,40,10,30,40,8,125,74.7,348,1581,NA,10,16,50,8,26.3,10,121,34,38,58,120,19,22,28,30,99,227,2018-01-25 00:37:08,118,8,NA,41,NA,NA,41,NA,52.6,20,NA,54,2,349,64,224,"STK","CD_T130","St Kilda","Saints"
3,15,47,16,26,42,5,125,74.4,395,1539,NA,15,15,61.1,9,29.7,11,204,31,37,62,120,28,27,23,34,112,191,2018-01-25 00:34:49,76,8,NA,47,NA,NA,38,NA,48.6,18,NA,65,11,385,74,260,"WB","CD_T140","Western Bulldogs","Bulldogs",8,22,41,14,28,42,16,160,72.9,388,1688,NA,16,15,63.6,14,35,21,180,53,60,74,120,23,25,27,35,110,208,2018-01-25 00:34:49,90,13,NA,41,NA,NA,25,NA,55,33,NA,70,11,389,62,229,"WCE","CD_T150","West Coast Eagles","Eagles"
14,12,55,14,29,43,10,145,66,329,1494,NA,13,20,40,8,20,12,116,37,60,69,120,32,26,25,32,115,213,2018-01-25 00:37:17,81,15,NA,59,NA,NA,38,NA,50,30,NA,69,12,328,82,183,"CARL","CD_T30","Carlton","Blues",14,13,49,14,28,42,14,141,73.4,350,1508,NA,20,13,53.8,8,26.9,14,130,35,52,82,120,34,28,25,26,113,220,2018-01-25 00:37:17,94,9,NA,55,NA,NA,47,NA,50,26,NA,55,8,343,69,202,"RICH","CD_T120","Richmond","Tigers"
